archetype,row_index,PLAYER_ID,PLAYER_NAME,SEASON,TEAM,MIN,distance
0,283,1629029,Luka Dončić,2025-26,LAL,2288.6016666666665,0.0
1,317,1629674,Neemias Queta,2025-26,BOS,1926.2066666666667,0.0
2,1,1642358,AJ Johnson,2025-26,DAL,453.43333333333334,0.0
3,294,1629680,Matisse Thybulle,2025-26,POR,479.65,0.0
4,109,1631230,Dominick Barlow,2025-26,PHI,1688.5183333333334,0.0
5,368,1642948,Ryan Nembhard,2025-26,DAL,1170.88,0.0
6,363,203497,Rudy Gobert,2025-26,MIN,2380.0466666666666,0.0
7,397,203501,Tim Hardaway Jr.,2025-26,DEN,2127.3,0.0
8,322,201587,Nicolas Batum,2025-26,LAC,1294.595,0.0
9,213,202685,Jonas Valanciunas,2025-26,DEN,871.065,0.0
