player_id,player_name,position_family,roster_status,display_order
1642847,Jeremiah Fears,Guards,standard,1
1627749,Dejounte Murray,Guards,standard,2
1629673,Jordan Poole,Guards,standard,3
1641722,Jordan Hawkins,Guards,standard,4
1641723,Kobe Bufkin,Guards,camp,5
1643555,Jaron Pierre Jr.,Guards,two-way,6
1630529,Herbert Jones,Wings,standard,7
1630530,Trey Murphy III,Wings,standard,8
1630180,Saddiq Bey,Wings,standard,9
1631097,Bennedict Mathurin,Wings,reported,10
1642877,Micah Peavy,Wings,standard,11
1631121,Bryce McGowens,Wings,standard,12
1630570,Trendon Watford,Wings,standard,13
1631216,Caleb Houstan,Wings,camp,14
1629627,Zion Williamson,Bigs,standard,15
1642852,Derik Queen,Bigs,standard,16
1642274,Yves Missi,Bigs,standard,17
1631255,Karlo Matković,Bigs,standard,18
201599,DeAndre Jordan,Bigs,standard,19
1631132,Christian Koloko,Bigs,camp,20
1643738,Malik Dia,Bigs,two-way,21
